,single_amount,sub,cg,year,base_itemizers,base_households,reform_itemizers,reform_households,base_ratio,base_ratio_diff,reform_ratio,reform_ratio_diff
172,5700,0.25,-3.45,2026,16003404.98,192503918.12,15134224.530000001,192503918.12,0.08313287924884757,0.001958633857583894,0.07861774803235885,-0.0025564973589048273
173,5700,0.25,-3.45,2035,20055911.78,200923107.71,18900433.61,200923107.71,0.09981884119046906,0.018644595799205382,0.09406799359922163,0.012893748207957953
174,5800,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
175,5800,0.25,-3.45,2026,16003404.98,192503918.12,15254457.540000001,192503918.12,0.08313287924884757,0.001958633857583894,0.07924232238478866,-0.001931923006475017
176,5800,0.25,-3.45,2035,20055911.78,200923107.71,19050942.35,200923107.71,0.09981884119046906,0.018644595799205382,0.0948170798626953,0.013642834471431622
177,5900,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
178,5900,0.25,-3.45,2026,16003404.98,192503918.12,15382206.32,192503918.12,0.08313287924884757,0.001958633857583894,0.07990593890359825,-0.0012683064876654326
179,5900,0.25,-3.45,2035,20055911.78,200923107.71,19167834.330000002,200923107.71,0.09981884119046906,0.018644595799205382,0.09539885455915638,0.014224609167892699
180,6000,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
181,6000,0.25,-3.45,2026,16003404.98,192503918.12,15519527.09,192503918.12,0.08313287924884757,0.001958633857583894,0.08061927903371653,-0.0005549663575471486
182,6000,0.25,-3.45,2035,20055911.78,200923107.71,19291458.2,200923107.71,0.09981884119046906,0.018644595799205382,0.09601413406288786,0.014839888671624182
183,6100,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
