,single_amount,sub,cg,year,base_itemizers,base_households,reform_itemizers,reform_households,base_ratio,base_ratio_diff,reform_ratio,reform_ratio_diff
117,3900,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
118,3900,0.25,-3.45,2026,16003404.98,192503918.12,11053687.24,192503918.12,0.08313287924884757,0.001958633857583894,0.05742058316501138,-0.023753662226252303
119,3900,0.25,-3.45,2035,20055911.78,200923107.71,14503506.56,200923107.71,0.09981884119046906,0.018644595799205382,0.07218436308945343,-0.008989882301810248
120,4000,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
121,4000,0.25,-3.45,2026,16003404.98,192503918.12,11162590.94,192503918.12,0.08313287924884757,0.001958633857583894,0.057986305156872926,-0.023187940234390754
122,4000,0.25,-3.45,2035,20055911.78,200923107.71,14594440.41,200923107.71,0.09981884119046906,0.018644595799205382,0.07263694343741046,-0.008537301953853216
123,4100,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
124,4100,0.25,-3.45,2026,16003404.98,192503918.12,11271461.53,192503918.12,0.08313287924884757,0.001958633857583894,0.05855185515223527,-0.022622390239028407
125,4100,0.25,-3.45,2035,20055911.78,200923107.71,14672273.19,200923107.71,0.09981884119046906,0.018644595799205382,0.0730243193887736,-0.00814992600249008
126,4200,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
127,4200,0.25,-3.45,2026,16003404.98,192503918.12,11375155.16,192503918.12,0.08313287924884757,0.001958633857583894,0.0590905123962679,-0.022083732994995782
128,4200,0.25,-3.45,2035,20055911.78,200923107.71,14786564.8,200923107.71,0.09981884119046906,0.018644595799205382,0.07359315197006615,-0.007581093421197532
129,4300,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
130,4300,0.25,-3.45,2026,16003404.98,192503918.12,11459985.66,192503918.12,0.08313287924884757,0.001958633857583894,0.059531181349027185,-0.021643064042236496
